"id","lemma","stress","asplemma","asplemmastress","asp","style","def","constr"
"0","виться","2","","","несовершенный","","Пролегать, протекать и т.п.",""
"1","извиваться","6","","","несовершенный","","Пролегать, протекать и т.п.",""
"2","змеиться","4","","","несовершенный","","Пролегать, протекать и т.п.",""
"3","петлять","5","","","несовершенный","","Пролегать, протекать и т.п.",""
"4","вилять","4","","","несовершенный","разг.","Пролегать, протекать и т.п.",""
"5","падать","2","","","несовершенный","","Устремляться сверху вниз (о потоке, лавине и т.п.).",""
"6","низвергаться","8","","","несовершенный","","Устремляться сверху вниз (о потоке, лавине и т.п.).",""
"7","свергаться","6","","","несовершенный","","Устремляться сверху вниз (о потоке, лавине и т.п.).",""
"8","течь","2","","","несовершенный","","Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.).",""
"9","бежать","4","","","несовершенный","","Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.).",""
"10","бить","2","","","несовершенный","","Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.).",""
"11","идти","4","","","несовершенный","","Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.).",""
"12","извергаться","7","","","несовершенный","","Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.).",""
"13","изливаться","6","","","несовершенный","","Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.).",""
"14","капать","2","","","несовершенный","","Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.).",""
"15","катиться","4","","","несовершенный","","Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.).",""
"16","лить","2","","","несовершенный","","Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.).",""
"17","литься","2","","","несовершенный","","Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.).",""
"18","протекать","7","","","несовершенный","","Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.).",""
"19","сочиться","4","","","несовершенный","","Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.).",""
"20","струиться","5","","","несовершенный","","Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.).",""
"21","хлестать","6","","","несовершенный","","Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.).",""
"22","точиться (литься по капле)","4","","","несовершенный","устар.","Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.).",""
"23","всходить","6","","","несовершенный","","Появляться/появиться над горизонтом (о небесных светилах).",""
"24","взойти","6","","","совершенный","","Появляться/появиться над горизонтом (о небесных светилах).",""
"25","восходить","7","","","несовершенный","","Появляться/появиться над горизонтом (о небесных светилах).",""
"26","взойти","6","","","совершенный","","Появляться/появиться над горизонтом (о небесных светилах).",""
"27","вставать","6","","","несовершенный","","Появляться/появиться над горизонтом (о небесных светилах).",""
"28","встать","4","","","совершенный","","Появляться/появиться над горизонтом (о небесных светилах).",""
"29","подниматься","7","","","несовершенный","","Появляться/появиться над горизонтом (о небесных светилах).",""
"30","подняться","5","","","совершенный","","Появляться/появиться над горизонтом (о небесных светилах).",""
"31","заходить","6","","","несовершенный","","Опускаться/опуститься за горизонт (о небесных светилах).",""
"32","зайти","5","","","совершенный","","Опускаться/опуститься за горизонт (о небесных светилах).",""
"33","закатываться","4","","","несовершенный","","Опускаться/опуститься за горизонт (о небесных светилах).",""
"34","закатиться","6","","","совершенный","","Опускаться/опуститься за горизонт (о небесных светилах).",""
"35","садиться","4","","","несовершенный","","Опускаться/опуститься за горизонт (о небесных светилах).",""
"36","сесть","2","","","совершенный","","Опускаться/опуститься за горизонт (о небесных светилах).",""
"37","клубиться","5","","","несовершенный","","Вздыматься клубами (о массе чего-либо движущегося, летящего: дыма, пара, пыли и т.п.).",""
"38","дымить","4","","","несовершенный","","Вздыматься клубами (о массе чего-либо движущегося, летящего: дыма, пара, пыли и т.п.).",""
"39","дымиться","4","","","несовершенный","","Вздыматься клубами (о массе чего-либо движущегося, летящего: дыма, пара, пыли и т.п.).",""
"40","куриться","4","","","несовершенный","","Вздыматься клубами (о массе чего-либо движущегося, летящего: дыма, пара, пыли и т.п.).",""
"41","клубить","5","","","несовершенный","устар.","Вздыматься клубами (о массе чего-либо движущегося, летящего: дыма, пара, пыли и т.п.).",""
"42","освещать","6","","","несовершенный","","Отбрасывать/отбросить лучи света куда-либо или на что-либо, делая видимым (об источнике света).","кого-что чем"
"43","осветить","6","","","совершенный","","Отбрасывать/отбросить лучи света куда-либо или на что-либо, делая видимым (об источнике света).",""
"44","озарять","5","","","несовершенный","","Отбрасывать/отбросить лучи света куда-либо или на что-либо, делая видимым (об источнике света).","кого-что чем"
"45","озарить","5","","","совершенный","","Отбрасывать/отбросить лучи света куда-либо или на что-либо, делая видимым (об источнике света).",""
"46","осиять","4","","","совершенный","высок.","Отбрасывать/отбросить лучи света куда-либо или на что-либо, делая видимым (об источнике света).","кого-что чем"
"47","высветлять","8","","","несовершенный","разг.","Отбрасывать/отбросить лучи света куда-либо или на что-либо, делая видимым (об источнике света).","что"
"48","высветлить","2","","","совершенный","","Отбрасывать/отбросить лучи света куда-либо или на что-либо, делая видимым (об источнике света).",""
"49","высвечивать","5","","","несовершенный","разг.","Отбрасывать/отбросить лучи света куда-либо или на что-либо, делая видимым (об источнике света).","кого-что"
"50","высветить","2","","","совершенный","","Отбрасывать/отбросить лучи света куда-либо или на что-либо, делая видимым (об источнике света).",""
"51","отблескивать","5","","","несовершенный","","Отражать свет, покрываясь бликами, приобретая дополнительный цвет или оттенок (о предмете, поверхности).",""
"52","отливать","6","","","несовершенный","","Отражать свет, покрываясь бликами, приобретая дополнительный цвет или оттенок (о предмете, поверхности).","чем"
"53","отливаться","6","","","несовершенный","","Отражать свет, покрываясь бликами, приобретая дополнительный цвет или оттенок (о предмете, поверхности).","чем"
"54","отсвечивать","5","","","несовершенный","","Отражать свет, покрываясь бликами, приобретая дополнительный цвет или оттенок (о предмете, поверхности).","чем"
"55","отсвечиваться","5","","","несовершенный","","Отражать свет, покрываясь бликами, приобретая дополнительный цвет или оттенок (о предмете, поверхности).",""
"56","бликовать","7","","","несовершенный","разг.","Отражать свет, покрываясь бликами, приобретая дополнительный цвет или оттенок (о предмете, поверхности).",""
"57","отражаться","6","","","несовершенный","","Давать/дать свое изображение на гладкой, полированной поверхности, создавать/создать блики на какой-либо поверхности.",""
"58","отразиться","6","","","совершенный","","Давать/дать свое изображение на гладкой, полированной поверхности, создавать/создать блики на какой-либо поверхности.",""
"59","отсвечивать","5","","","несовершенный","","Давать/дать свое изображение на гладкой, полированной поверхности, создавать/создать блики на какой-либо поверхности.",""
"60","отсвечиваться","5","","","несовершенный","","Давать/дать свое изображение на гладкой, полированной поверхности, создавать/создать блики на какой-либо поверхности.",""
"61","подниматься","7","","","несовершенный","","Двигаться/двинуться от земли вверх и в стороны, распространяясь над чем-либо (о тумане, паре и т.п.).",""
"62","подняться","5","","","совершенный","","Двигаться/двинуться от земли вверх и в стороны, распространяясь над чем-либо (о тумане, паре и т.п.).",""
"63","восходить","7","","","несовершенный","","Двигаться/двинуться от земли вверх и в стороны, распространяясь над чем-либо (о тумане, паре и т.п.).",""
"64","взойти","6","","","совершенный","","Двигаться/двинуться от земли вверх и в стороны, распространяясь над чем-либо (о тумане, паре и т.п.).",""
"65","всходить","6","","","несовершенный","","Двигаться/двинуться от земли вверх и в стороны, распространяясь над чем-либо (о тумане, паре и т.п.).",""
"66","взойти","6","","","совершенный","","Двигаться/двинуться от земли вверх и в стороны, распространяясь над чем-либо (о тумане, паре и т.п.).",""
"67","подыматься","6","","","несовершенный","разг.","Двигаться/двинуться от земли вверх и в стороны, распространяясь над чем-либо (о тумане, паре и т.п.).",""
"68","подняться","5","","","совершенный","","Двигаться/двинуться от земли вверх и в стороны, распространяясь над чем-либо (о тумане, паре и т.п.).",""
"69","рассветать","8","","","несовершенный","","Становиться/стать освещённым солнцем с наступлением утра.",""
"70","рассвести","9","","","совершенный","","Становиться/стать освещённым солнцем с наступлением утра.",""
"71","брезжить","3","","","несовершенный","","Становиться/стать освещённым солнцем с наступлением утра.",""
