lemma,asp,def
виться,несовершенный,"Пролегать, протекать и т.п."
извиваться,несовершенный,"Пролегать, протекать и т.п."
змеиться,несовершенный,"Пролегать, протекать и т.п."
петлять,несовершенный,"Пролегать, протекать и т.п."
вилять,несовершенный,"Пролегать, протекать и т.п."
падать,несовершенный,"Устремляться сверху вниз (о потоке, лавине и т.п.)."
низвергаться,несовершенный,"Устремляться сверху вниз (о потоке, лавине и т.п.)."
свергаться,несовершенный,"Устремляться сверху вниз (о потоке, лавине и т.п.)."
течь,несовершенный,"Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.)."
бежать,несовершенный,"Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.)."
бить,несовершенный,"Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.)."
идти,несовершенный,"Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.)."
извергаться,несовершенный,"Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.)."
изливаться,несовершенный,"Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.)."
капать,несовершенный,"Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.)."
катиться,несовершенный,"Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.)."
лить,несовершенный,"Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.)."
литься,несовершенный,"Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.)."
протекать,несовершенный,"Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.)."
сочиться,несовершенный,"Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.)."
струиться,несовершенный,"Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.)."
хлестать,несовершенный,"Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.)."
точиться (литься по капле),несовершенный,"Перемещать свои воды в каком-либо направлении (о реке, ручье и т.п.)."
всходить,несовершенный,Появляться/появиться над горизонтом (о небесных светилах).
взойти,совершенный,Появляться/появиться над горизонтом (о небесных светилах).
восходить,несовершенный,Появляться/появиться над горизонтом (о небесных светилах).
взойти,совершенный,Появляться/появиться над горизонтом (о небесных светилах).
вставать,несовершенный,Появляться/появиться над горизонтом (о небесных светилах).
встать,совершенный,Появляться/появиться над горизонтом (о небесных светилах).
подниматься,несовершенный,Появляться/появиться над горизонтом (о небесных светилах).
подняться,совершенный,Появляться/появиться над горизонтом (о небесных светилах).
заходить,несовершенный,Опускаться/опуститься за горизонт (о небесных светилах).
зайти,совершенный,Опускаться/опуститься за горизонт (о небесных светилах).
закатываться,несовершенный,Опускаться/опуститься за горизонт (о небесных светилах).
закатиться,совершенный,Опускаться/опуститься за горизонт (о небесных светилах).
садиться,несовершенный,Опускаться/опуститься за горизонт (о небесных светилах).
сесть,совершенный,Опускаться/опуститься за горизонт (о небесных светилах).
клубиться,несовершенный,"Вздыматься клубами (о массе чего-либо движущегося, летящего: дыма, пара, пыли и т.п.)."
дымить,несовершенный,"Вздыматься клубами (о массе чего-либо движущегося, летящего: дыма, пара, пыли и т.п.)."
дымиться,несовершенный,"Вздыматься клубами (о массе чего-либо движущегося, летящего: дыма, пара, пыли и т.п.)."
куриться,несовершенный,"Вздыматься клубами (о массе чего-либо движущегося, летящего: дыма, пара, пыли и т.п.)."
клубить,несовершенный,"Вздыматься клубами (о массе чего-либо движущегося, летящего: дыма, пара, пыли и т.п.)."
освещать,несовершенный,"Отбрасывать/отбросить лучи света куда-либо или на что-либо, делая видимым (об источнике света)."
осветить,совершенный,"Отбрасывать/отбросить лучи света куда-либо или на что-либо, делая видимым (об источнике света)."
озарять,несовершенный,"Отбрасывать/отбросить лучи света куда-либо или на что-либо, делая видимым (об источнике света)."
озарить,совершенный,"Отбрасывать/отбросить лучи света куда-либо или на что-либо, делая видимым (об источнике света)."
осиять,совершенный,"Отбрасывать/отбросить лучи света куда-либо или на что-либо, делая видимым (об источнике света)."
высветлять,несовершенный,"Отбрасывать/отбросить лучи света куда-либо или на что-либо, делая видимым (об источнике света)."
высветлить,совершенный,"Отбрасывать/отбросить лучи света куда-либо или на что-либо, делая видимым (об источнике света)."
